# Log format <Tick> <peer Type> <Total # of max TFT Slots> <Total # of max OU Slots> <Total # of used TFT Slots> <Total # of used OU Slots> <# of peers>
0;Peer;12;6;0;0;6
0;Peer_C1;0;80;0;0;5
1;Peer;12;6;0;3;6
1;Peer_C1;0;80;0;0;5
2;Peer;12;6;0;3;6
2;Peer_C1;0;80;0;0;5
3;Peer;12;6;0;3;6
3;Peer_C1;0;80;0;27;5
4;Peer;12;6;0;3;6
4;Peer_C1;0;80;0;27;5
5;Peer;12;6;0;3;6
5;Peer_C1;0;80;0;27;5
6;Peer;12;6;0;3;6
6;Peer_C1;0;80;0;27;5
7;Peer;12;6;0;3;6
7;Peer_C1;0;80;0;26;5
8;Peer;12;6;0;18;6
8;Peer_C1;0;80;0;34;5
9;Peer;12;6;3;15;6
9;Peer_C1;0;80;0;31;5
10;Peer;12;6;6;13;6
10;Peer_C1;0;80;0;33;5
11;Peer;12;6;6;10;6
11;Peer_C1;0;80;0;36;5
12;Peer;12;6;10;9;6
12;Peer_C1;0;80;0;39;5
13;Peer;12;6;10;9;6
13;Peer_C1;0;80;0;39;5
14;Peer;12;6;10;8;6
14;Peer_C1;0;80;0;39;5
15;Peer;12;6;10;8;6
15;Peer_C1;0;80;0;39;5
16;Peer;12;6;10;8;6
16;Peer_C1;0;80;0;42;5
17;Peer;12;6;10;8;6
17;Peer_C1;0;80;0;37;5
18;Peer;12;6;10;8;6
18;Peer_C1;0;80;0;39;5
19;Peer;12;6;10;8;6
19;Peer_C1;0;80;0;32;5
20;Peer;12;6;9;8;6
20;Peer_C1;0;80;0;31;5
21;Peer;12;6;10;8;6
21;Peer_C1;0;80;0;32;5
22;Peer;12;6;10;8;6
22;Peer_C1;0;80;0;27;5
23;Peer;12;6;10;8;6
23;Peer_C1;0;80;0;25;5
24;Peer;12;6;10;8;6
24;Peer_C1;0;80;0;20;5
25;Peer;12;6;10;8;6
25;Peer_C1;0;80;0;25;5
26;Peer;12;6;10;8;6
26;Peer_C1;0;80;0;28;5
27;Peer;12;6;10;8;6
27;Peer_C1;0;80;0;33;5
28;Peer;12;6;10;8;6
28;Peer_C1;0;80;0;35;5
29;Peer;12;6;10;8;6
29;Peer_C1;0;80;0;35;5
30;Peer;12;6;10;8;6
30;Peer_C1;0;80;0;37;5
31;Peer;12;6;10;8;6
31;Peer_C1;0;80;0;36;5
32;Peer;12;6;10;8;6
32;Peer_C1;0;80;0;33;5
33;Peer;14;7;10;8;7
33;Peer_C1;0;80;0;26;5
34;Peer;14;7;10;8;7
34;Peer_C1;0;80;0;35;5
35;Peer;14;7;10;8;7
35;Peer_C1;0;80;0;35;5
36;Peer;14;7;10;8;7
36;Peer_C1;0;80;0;40;5
37;Peer;14;7;10;8;7
37;Peer_C1;0;80;0;38;5
38;Peer;14;7;10;8;7
38;Peer_C1;0;80;0;39;5
39;Peer;14;7;10;8;7
39;Peer_C1;0;80;0;32;5
40;Peer;14;7;10;8;7
40;Peer_C1;0;80;0;34;5
41;Peer;14;7;10;8;7
41;Peer_C1;0;80;0;33;5
42;Peer;14;7;10;8;7
42;Peer_C1;0;80;0;31;5
43;Peer;14;7;10;8;7
43;Peer_C1;0;80;0;27;5
44;Peer;14;7;10;8;7
44;Peer_C1;0;80;0;26;5
